id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
70,California 49th,CA-49,Republican,Darrell,Issa,2000,1953,Man,White - Non-Hispanic,Christian - Orthodox,No,50.7,43.2,45.7,52.2,49,47.9,49.7,50.3,44,55,43,54,39.8,60.2,41.8,58.2,70.3,2.8,18.1,6.3,0.3,2.2,44,51,52,52,80877,47,33.7,314011,159081,135576,294468,134447,153856,100,48.98,47.91,310155,154267,155888,0,163142,64981,98161,0,114893,159725,669725,504795,,,"(70,'California 49th','CA-49','Republican','Darrell','Issa',2000,1953,'Man','White - Non-Hispanic','Christian - Orthodox','No',50.7,43.2,45.7,52.2,49,47.9,49.7,50.3,44,55,43,54,39.8,60.2,41.8,58.2,70.3,2.8,18.1,6.3,0.3,2.2,44,51,52,52,80877,47,33.7,314011,159081,135576,294468,134447,153856,100,48.98,47.91,310155,154267,155888,0,163142,64981,98161,0,114893,159725,669725,504795),"
71,California 50th,CA-50,Republican,Duncan,Hunter,2008,1976,Man,White - Non-Hispanic,Christian - Southern Baptist,No,39.6,54.6,37.6,60.4,39.1,58,36.5,63.5,53,46,57,41,28.8,71.2,32.3,67.7,67.3,2.9,20.8,5.7,0.8,2.5,28.2,230,33.5,214,71692,83,44.7,292878,115864,159822,273289,102649,165104,100,39.05,57.95,283583,103646,179937,0,157299,45302,111997,0,83455,174838,657385,483140,,,"(71,'California 50th','CA-50','Republican','Duncan','Hunter',2008,1976,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',39.6,54.6,37.6,60.4,39.1,58,36.5,63.5,53,46,57,41,28.8,71.2,32.3,67.7,67.3,2.9,20.8,5.7,0.8,2.5,28.2,230,33.5,214,71692,83,44.7,292878,115864,159822,273289,102649,165104,100,39.05,57.95,283583,103646,179937,0,157299,45302,111997,0,83455,174838,657385,483140),"
72,California 51st,CA-51,Democratic,Juan,Vargas,2012,1961,Man,Hispanic - Mexican,Christian - Roman Catholic,No,71.8,22.8,69.4,28.9,65,31.7,72.8,27.2,38,61,40,57,68.8,31.2,71.5,28.5,20.7,8.5,59.3,9.4,0.5,1.5,14.1,426,26.6,320,46639,355,15.2,205437,147603,46825,166684,115610,48108,100,65,31.68,199524,145162,54362,0,81950,56373,25577,0,113934,45464,591345,406185,,,"(72,'California 51st','CA-51','Democratic','Juan','Vargas',2012,1961,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',71.8,22.8,69.4,28.9,65,31.7,72.8,27.2,38,61,40,57,68.8,31.2,71.5,28.5,20.7,8.5,59.3,9.4,0.5,1.5,14.1,426,26.6,320,46639,355,15.2,205437,147603,46825,166684,115610,48108,100,65,31.68,199524,145162,54362,0,81950,56373,25577,0,113934,45464,591345,406185),"
73,California 52nd,CA-52,Democratic,Scott,Peters,2012,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,58.1,35.6,52.1,45.7,54.6,42.5,56.5,43.5,61,38,58,38,51.6,48.4,51.2,48.8,66,3.2,11.9,15.9,0.3,2.7,57.4,9,61.2,23,90854,27,25.5,329258,191325,117057,314748,163911,143726,100,54.64,42.54,320656,181253,139403,0,191572,98826,92746,0,151451,144459,667510,528915,,,"(73,'California 52nd','CA-52','Democratic','Scott','Peters',2012,1958,'Man','White - Non-Hispanic','Christian - Lutheran','No',58.1,35.6,52.1,45.7,54.6,42.5,56.5,43.5,61,38,58,38,51.6,48.4,51.2,48.8,66,3.2,11.9,15.9,0.3,2.7,57.4,9,61.2,23,90854,27,25.5,329258,191325,117057,314748,163911,143726,100,54.64,42.54,320656,181253,139403,0,191572,98826,92746,0,151451,144459,667510,528915),"
74,California 53rd,CA-53,Democratic,Susan,Davis,2000,1944,Woman,White - Non-Hispanic,Jewish,No,64.5,29.6,61.4,36.4,60.7,36.4,67,33,68,31,61,33,58.8,41.2,61.4,38.6,48.9,8.3,26.6,12.9,0.3,3,37.8,95,48.1,75,69314,97,25.3,310373,200237,91822,284333,174616,103513,100,60.73,36.35,296956,198988,97968,0,148044,87104,60940,0,164825,103482,675895,525270,,,"(74,'California 53rd','CA-53','Democratic','Susan','Davis',2000,1944,'Woman','White - Non-Hispanic','Jewish','No',64.5,29.6,61.4,36.4,60.7,36.4,67,33,68,31,61,33,58.8,41.2,61.4,38.6,48.9,8.3,26.6,12.9,0.3,3,37.8,95,48.1,75,69314,97,25.3,310373,200237,91822,284333,174616,103513,100,60.73,36.35,296956,198988,97968,0,148044,87104,60940,0,164825,103482,675895,525270),"
75,Colorado 1st,CO-01,Democratic,Diana,DeGette,1996,1957,Woman,White - Non-Hispanic,Christian - Presbyterian,No,69,23.2,69,28.8,70.9,27.6,67.9,27.7,58,41,52,43,65.8,29,71.8,28.2,68.9,8.2,18,2.5,0.6,1.9,47.6,31,60.5,25,62718,148,27.2,402463,277790,93486,368798,254400,106334,336293,238267,92818,379036,257254,105030,16752,278491,183281,80682,14528,237579,93217,712165,555290,,,"(75,'Colorado 1st','CO-01','Democratic','Diana','DeGette',1996,1957,'Woman','White - Non-Hispanic','Christian - Presbyterian','No',69,23.2,69,28.8,70.9,27.6,67.9,27.7,58,41,52,43,65.8,29,71.8,28.2,68.9,8.2,18,2.5,0.6,1.9,47.6,31,60.5,25,62718,148,27.2,402463,277790,93486,368798,254400,106334,336293,238267,92818,379036,257254,105030,16752,278491,183281,80682,14528,237579,93217,712165,555290),"
76,Colorado 2nd,CO-02,Democratic,Jared,Polis,2008,1975,Man,White - Non-Hispanic,Jewish,Gay,56.2,34.9,57.9,39.5,61.2,37.2,56.9,37.2,44,55,39,54,56.7,43.3,59.1,40.9,88.1,0.8,7.2,2.1,0.3,1.5,54.3,18,56.8,33,75659,67,38,471308,264925,164710,440652,255209,174095,416822,255063,154884,457312,260175,170001,27136,345945,196300,149645,0,234758,162639,740025,589025,,,"(76,'Colorado 2nd','CO-02','Democratic','Jared','Polis',2008,1975,'Man','White - Non-Hispanic','Jewish','Gay',56.2,34.9,57.9,39.5,61.2,37.2,56.9,37.2,44,55,39,54,56.7,43.3,59.1,40.9,88.1,0.8,7.2,2.1,0.3,1.5,54.3,18,56.8,33,75659,67,38,471308,264925,164710,440652,255209,174095,416822,255063,154884,457312,260175,170001,27136,345945,196300,149645,0,234758,162639,740025,589025),"
77,Colorado 3rd,CO-03,Republican,Scott,Tipton,2010,1956,Man,White - Non-Hispanic,Christian - Episcopalian,No,40,52,45.8,51.8,48.4,49.9,40.3,54.6,41,58,37,57,35.7,58,43.5,56.5,77.6,0.8,18.3,0.7,1.4,1.2,29.2,216,34,203,50817,293,51.2,377176,151057,195966,358045,163886,185459,343167,166259,171205,374037,150914,204220,18903,281141,100364,163011,17766,142920,185291,697295,537705,,,"(77,'Colorado 3rd','CO-03','Republican','Scott','Tipton',2010,1956,'Man','White - Non-Hispanic','Christian - Episcopalian','No',40,52,45.8,51.8,48.4,49.9,40.3,54.6,41,58,37,57,35.7,58,43.5,56.5,77.6,0.8,18.3,0.7,1.4,1.2,29.2,216,34,203,50817,293,51.2,377176,151057,195966,358045,163886,185459,343167,166259,171205,374037,150914,204220,18903,281141,100364,163011,17766,142920,185291,697295,537705),"
78,Colorado 4th,CO-04,Republican,Ken,Buck,2014,1959,Man,White - Non-Hispanic,Christian - Protestant,No,34.3,57.4,39.2,58.5,41.9,56.4,31.7,63.5,33,66,31,63,29.2,64.7,38.6,61.4,80.1,1.3,15.5,1.3,0.6,1.3,34.9,131,39.4,145,67878,113,48.5,402197,137779,230945,357971,140404,209415,330465,138609,186271,390549,123642,248155,18752,286507,83727,185292,17488,125800,200006,725970,532295,,,"(78,'Colorado 4th','CO-04','Republican','Ken','Buck',2014,1959,'Man','White - Non-Hispanic','Christian - Protestant','No',34.3,57.4,39.2,58.5,41.9,56.4,31.7,63.5,33,66,31,63,29.2,64.7,38.6,61.4,80.1,1.3,15.5,1.3,0.6,1.3,34.9,131,39.4,145,67878,113,48.5,402197,137779,230945,357971,140404,209415,330465,138609,186271,390549,123642,248155,18752,286507,83727,185292,17488,125800,200006,725970,532295),"
79,Colorado 5th,CO-05,Republican,Doug,Lamborn,2006,1954,Man,White - Non-Hispanic,Christian - Protestant,No,33.2,57.2,38.3,59.1,39.7,58.8,30.9,62.3,39,60,37,60,40.2,59.8,0,100,77.6,5.4,11.6,2.2,0.4,2.8,37,107,40.9,129,62372,151,45.8,371751,123508,212517,339143,129903,200491,320557,127252,188389,361993,111676,225445,24872,262855,105673,157182,0,0,199639,737480,556315,,,"(79,'Colorado 5th','CO-05','Republican','Doug','Lamborn',2006,1954,'Man','White - Non-Hispanic','Christian - Protestant','No',33.2,57.2,38.3,59.1,39.7,58.8,30.9,62.3,39,60,37,60,40.2,59.8,0,100,77.6,5.4,11.6,2.2,0.4,2.8,37,107,40.9,129,62372,151,45.8,371751,123508,212517,339143,129903,200491,320557,127252,188389,361993,111676,225445,24872,262855,105673,157182,0,0,199639,737480,556315),"
80,Colorado 6th,CO-06,Republican,Mike,Coffman,2008,1955,Man,White - Non-Hispanic,Christian - Methodist,No,50.2,41.3,51.6,46.5,53.6,44.9,42.6,50.9,51,48,50,49,43,51.9,48.9,51.1,72.3,8.5,12.3,4.4,0.4,2.1,41.8,65,49.4,65,76451,64,36.5,380535,191103,157115,354989,183024,165070,326232,175007,146589,376417,160372,191626,24419,276440,118847,143467,14126,156937,163938,712650,515295,,,"(80,'Colorado 6th','CO-06','Republican','Mike','Coffman',2008,1955,'Man','White - Non-Hispanic','Christian - Methodist','No',50.2,41.3,51.6,46.5,53.6,44.9,42.6,50.9,51,48,50,49,43,51.9,48.9,51.1,72.3,8.5,12.3,4.4,0.4,2.1,41.8,65,49.4,65,76451,64,36.5,380535,191103,157115,354989,183024,165070,326232,175007,146589,376417,160372,191626,24419,276440,118847,143467,14126,156937,163938,712650,515295),"
81,Colorado 7th,CO-07,Democratic,Ed,Perlmutter,2006,1953,Man,White - Non-Hispanic,Christian - Methodist,No,51.4,39.4,56.1,41.3,57.4,40.7,55.2,39.8,60,39,62,33,55.1,44.9,56.7,43.3,74.3,1.4,19.7,2.7,0.5,1.4,32.5,163,39.2,147,66063,129,45.1,374616,192637,147645,349920,196276,144379,327142,187678,133184,362010,199758,144066,18186,269143,148225,120918,0,182460,139066,715950,538515,,,"(81,'Colorado 7th','CO-07','Democratic','Ed','Perlmutter',2006,1953,'Man','White - Non-Hispanic','Christian - Methodist','No',51.4,39.4,56.1,41.3,57.4,40.7,55.2,39.8,60,39,62,33,55.1,44.9,56.7,43.3,74.3,1.4,19.7,2.7,0.5,1.4,32.5,163,39.2,147,66063,129,45.1,374616,192637,147645,349920,196276,144379,327142,187678,133184,362010,199758,144066,18186,269143,148225,120918,0,182460,139066,715950,538515),"
82,Connecticut 1st,CT-01,Democratic,John,Larson,1998,1948,Man,White - Non-Hispanic,Christian - Roman Catholic,No,59.4,36.3,63.3,35.6,65.8,32.9,64.1,33.8,54,44,54,40,62.3,36.1,71.5,28.5,69.9,12.8,13.1,2.7,0.1,1.4,36.8,111,42.7,115,70215,94,39.9,328774,195305,119395,317496,200960,112982,334807,220181,110296,312925,200686,105674,6565,217696,135686,78520,3490,206973,82321,664790,516180,,,"(82,'Connecticut 1st','CT-01','Democratic','John','Larson',1998,1948,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',59.4,36.3,63.3,35.6,65.8,32.9,64.1,33.8,54,44,54,40,62.3,36.1,71.5,28.5,69.9,12.8,13.1,2.7,0.1,1.4,36.8,111,42.7,115,70215,94,39.9,328774,195305,119395,317496,200960,112982,334807,220181,110296,312925,200686,105674,6565,217696,135686,78520,3490,206973,82321,664790,516180),"
83,Connecticut 2nd,CT-02,Democratic,Joe,Courtney,2006,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,48.7,45.8,55.9,42.6,58.6,40,63.2,33.7,56,42,60,34,62.3,35.5,69.9,30.1,86.4,3.5,5.9,2.2,0.2,1.8,35.1,130,36.3,179,74784,71,55,340758,165799,155975,317687,177544,135235,340366,199414,136155,330257,208818,111149,10290,227750,141851,80842,5057,204708,88103,687725,547310,,,"(83,'Connecticut 2nd','CT-02','Democratic','Joe','Courtney',2006,1953,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',48.7,45.8,55.9,42.6,58.6,40,63.2,33.7,56,42,60,34,62.3,35.5,69.9,30.1,86.4,3.5,5.9,2.2,0.2,1.8,35.1,130,36.3,179,74784,71,55,340758,165799,155975,317687,177544,135235,340366,199414,136155,330257,208818,111149,10290,227750,141851,80842,5057,204708,88103,687725,547310),"
84,Connecticut 3rd,CT-03,Democratic,Rosa,DeLauro,1990,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,55.9,40.4,62.6,36.3,62.6,36.2,69,31,52,46,53,43,67.1,32.9,74.7,25.3,73,12.3,10.5,2.7,0.2,1.3,36.2,117,39.9,138,67774,115,43.7,321837,179832,129968,305600,191296,110912,324233,203090,117258,309379,213572,95786,21,210420,141197,69223,0,217585,73726,670070,530185,,,"(84,'Connecticut 3rd','CT-03','Democratic','Rosa','DeLauro',1990,1943,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',55.9,40.4,62.6,36.3,62.6,36.2,69,31,52,46,53,43,67.1,32.9,74.7,25.3,73,12.3,10.5,2.7,0.2,1.3,36.2,117,39.9,138,67774,115,43.7,321837,179832,129968,305600,191296,110912,324233,203090,117258,309379,213572,95786,21,210420,141197,69223,0,217585,73726,670070,530185),"
85,Connecticut 4th,CT-04,Democratic,Jim,Himes,2008,1966,Man,White - Non-Hispanic,Christian - Presbyterian,No,59.6,36.6,55.1,44,59.6,39.7,59.9,40.1,49,49,52,43,53.7,46.3,60,40,71.4,11.5,12.5,3.6,0.1,0.8,48.8,29,60.7,24,94862,21,28,328198,195494,119976,310284,170884,136600,323755,192941,128653,313540,187811,125724,5,198719,106791,91928,0,175929,117503,646375,476095,,,"(85,'Connecticut 4th','CT-04','Democratic','Jim','Himes',2008,1966,'Man','White - Non-Hispanic','Christian - Presbyterian','No',59.6,36.6,55.1,44,59.6,39.7,59.9,40.1,49,49,52,43,53.7,46.3,60,40,71.4,11.5,12.5,3.6,0.1,0.8,48.8,29,60.7,24,94862,21,28,328198,195494,119976,310284,170884,136600,323755,192941,128653,313540,187811,125724,5,198719,106791,91928,0,175929,117503,646375,476095),"
86,Connecticut 5th,CT-05,Democratic,Elizabeth,Esty,2012,1959,Woman,White - Non-Hispanic,Christian - Congregationalist,No,49.9,45.8,53.5,45.3,56.4,42.4,58,42,53,46,55,42,53.3,45.8,51.3,48.7,78.3,5.8,12.5,2.3,0.1,1,36.3,116,40,135,68904,105,46.8,322737,161142,147901,307553,164621,139347,323202,182147,137066,309082,179252,129801,29,211123,112550,96625,1948,146106,138640,664980,513110,,,"(86,'Connecticut 5th','CT-05','Democratic','Elizabeth','Esty',2012,1959,'Woman','White - Non-Hispanic','Christian - Congregationalist','No',49.9,45.8,53.5,45.3,56.4,42.4,58,42,53,46,55,42,53.3,45.8,51.3,48.7,78.3,5.8,12.5,2.3,0.1,1,36.3,116,40,135,68904,105,46.8,322737,161142,147901,307553,164621,139347,323202,182147,137066,309082,179252,129801,29,211123,112550,96625,1948,146106,138640,664980,513110),"
87,Delaware At-Large,DE-00,Democratic,Lisa,Blunt Rochester,2016,1962,Woman,Black - African-American,Christian - Protestant,No,53.4,41.9,58.6,40,61.9,36.9,55.5,41,28,72,31,69,59.3,36.8,65.8,34.2,70.5,20.6,5.1,2.2,0.3,1.3,31,177,33.8,209,61757,158,46.6,441590,235603,185127,413890,242584,165484,412412,255459,152374,420617,233554,172301,14762,231617,137251,85146,9220,249933,129757,890715,689655,,,"(87,'Delaware At-Large','DE-00','Democratic','Lisa','Blunt Rochester',2016,1962,'Woman','Black - African-American','Christian - Protestant','No',53.4,41.9,58.6,40,61.9,36.9,55.5,41,28,72,31,69,59.3,36.8,65.8,34.2,70.5,20.6,5.1,2.2,0.3,1.3,31,177,33.8,209,61757,158,46.6,441590,235603,185127,413890,242584,165484,412412,255459,152374,420617,233554,172301,14762,231617,137251,85146,9220,249933,129757,890715,689655),"
88,Florida 1st,FL-01,Republican,Matt,Gaetz,2016,1982,Man,White - Non-Hispanic,Christian - Baptist,No,28.2,67.5,30.1,68.5,32,66.8,30.9,69.1,46,54,47,53,23.4,70.1,28.1,71.9,77.5,12.8,4.5,2.1,0.5,2.5,27.9,237,30.5,263,53006,252,53.8,380100,107063,256609,100,30.1,68.5,100,32,66.8,369186,114079,255107,0,235343,54976,165086,15281,92961,238440,725045,566265,,,"(88,'Florida 1st','FL-01','Republican','Matt','Gaetz',2016,1982,'Man','White - Non-Hispanic','Christian - Baptist','No',28.2,67.5,30.1,68.5,32,66.8,30.9,69.1,46,54,47,53,23.4,70.1,28.1,71.9,77.5,12.8,4.5,2.1,0.5,2.5,27.9,237,30.5,263,53006,252,53.8,380100,107063,256609,100,30.1,68.5,100,32,66.8,369186,114079,255107,0,235343,54976,165086,15281,92961,238440,725045,566265),"
89,Florida 2nd,FL-02,Republican,Neal,Dunn,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,30.6,66.2,34,64.6,35.2,63.4,29.9,67.3,65,35,65,35,,,,,79.9,12.8,4.3,1.2,0.4,1.3,23.4,324,24.3,368,46062,360,60.5,354948,108636,234991,100,34,64.6,100,35.2,63.4,343362,102801,231163,9398,,,,,,,691555,549900,,,"(89,'Florida 2nd','FL-02','Republican','Neal','Dunn',2016,1953,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',30.6,66.2,34,64.6,35.2,63.4,29.9,67.3,65,35,65,35,,,,,79.9,12.8,4.3,1.2,0.4,1.3,23.4,324,24.3,368,46062,360,60.5,354948,108636,234991,100,34,64.6,100,35.2,63.4,343362,102801,231163,9398,,,,,,,691555,549900),"
90,Florida 3rd,FL-03,Republican,Ted,Yoho,2012,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,40.2,56.2,41.9,56.6,44.2,54.6,39.8,56.6,31,69,34,66,,,,,73.5,15,7.2,2.5,0.3,1.5,25.9,277,26.5,322,45970,362,54,351688,141362,197478,100,41.9,56.6,100,44.2,54.6,342700,136338,193843,12519,,,,,,,689685,542395,,,"(90,'Florida 3rd','FL-03','Republican','Ted','Yoho',2012,1955,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',40.2,56.2,41.9,56.6,44.2,54.6,39.8,56.6,31,69,34,66,,,,,73.5,15,7.2,2.5,0.3,1.5,25.9,277,26.5,322,45970,362,54,351688,141362,197478,100,41.9,56.6,100,44.2,54.6,342700,136338,193843,12519,,,,,,,689685,542395),"
91,Florida 4th,FL-04,Republican,John,Rutherford,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,34.1,62.1,32.8,66.1,34.8,64.2,27.6,70.2,41,58,46,54,,,,,80.2,8.8,6,3.2,0.2,1.6,39.2,85,39.8,142,68229,109,48.2,421618,143675,261826,100,32.8,66.1,100,34.8,64.2,409662,113088,287509,9065,,,,,,,717255,562015,,,"(91,'Florida 4th','FL-04','Republican','John','Rutherford',2016,1952,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',34.1,62.1,32.8,66.1,34.8,64.2,27.6,70.2,41,58,46,54,,,,,80.2,8.8,6,3.2,0.2,1.6,39.2,85,39.8,142,68229,109,48.2,421618,143675,261826,100,32.8,66.1,100,34.8,64.2,409662,113088,287509,9065,,,,,,,717255,562015),"
92,Florida 5th,FL-05,Democratic,Al,Lawson,2016,1948,Man,Black - African-American,Christian - Episcopalian,No,61.3,35.9,63.6,35.4,63.2,35.9,64.2,35.8,39,61,42,58,,,,,45.6,45.3,5.4,1.9,0.3,1.5,21.4,361,25,350,40932,410,34.1,312071,191194,111892,100,63.6,35.4,100,63.2,35.9,302874,194549,108325,0,,,,,,,692450,529155,,,"(92,'Florida 5th','FL-05','Democratic','Al','Lawson',2016,1948,'Man','Black - African-American','Christian - Episcopalian','No',61.3,35.9,63.6,35.4,63.2,35.9,64.2,35.8,39,61,42,58,,,,,45.6,45.3,5.4,1.9,0.3,1.5,21.4,361,25,350,40932,410,34.1,312071,191194,111892,100,63.6,35.4,100,63.2,35.9,302874,194549,108325,0,,,,,,,692450,529155),"
93,Florida 6th,FL-06,Vacant (R),,,,,,,,,39.9,56.9,46.6,52.2,50.1,48.7,41.4,58.6,43,57,46,54,,,,,79.2,9.3,9,1.3,0.3,0.9,23.9,311,24.9,354,46882,352,59.4,379804,151453,215941,100,46.6,52.2,100,50.1,48.7,364570,151051,213519,0,,,,,,,706230,575030,,,"(93,'Florida 6th','FL-06','Vacant (R)','','',,,'','','','',39.9,56.9,46.6,52.2,50.1,48.7,41.4,58.6,43,57,46,54,,,,,79.2,9.3,9,1.3,0.3,0.9,23.9,311,24.9,354,46882,352,59.4,379804,151453,215941,100,46.6,52.2,100,50.1,48.7,364570,151051,213519,0,,,,,,,706230,575030),"
94,Florida 7th,FL-07,Democratic,Stephanie,Murphy,2016,1978,Woman,Asian - Vietnamese,Christian - Protestant,No,51.4,44.1,49.4,49.4,51.1,48,51.5,48.5,45,55,46,54,,,,,65.7,9.6,19.9,3.3,0.1,1.4,37.8,95,44.3,96,57146,207,36.5,363186,186658,160178,100,49.4001,49.4,100,51.1,48,353655,182039,171583,33,,,,,,,696785,552445,,,"(94,'Florida 7th','FL-07','Democratic','Stephanie','Murphy',2016,1978,'Woman','Asian - Vietnamese','Christian - Protestant','No',51.4,44.1,49.4,49.4,51.1,48,51.5,48.5,45,55,46,54,,,,,65.7,9.6,19.9,3.3,0.1,1.4,37.8,95,44.3,96,57146,207,36.5,363186,186658,160178,100,49.4001,49.4,100,51.1,48,353655,182039,171583,33,,,,,,,696785,552445),"
95,Florida 8th,FL-08,Republican,Bill,Posey,2008,1947,Man,White - Non-Hispanic,Christian - Methodist,No,37.7,58.4,42.1,56.6,43.8,54.9,32.5,63.1,43,57,46,54,34.1,65.8,38.9,61.1,80.9,8.5,7.4,1.5,0.2,1.4,29,220,30.4,265,50752,294,56.2,401911,151412,234648,100,42.1,56.6,100,43.8,54.9,390561,127127,246483,16951,274513,93724,180728,61,130870,205432,695070,562860,,,"(95,'Florida 8th','FL-08','Republican','Bill','Posey',2008,1947,'Man','White - Non-Hispanic','Christian - Methodist','No',37.7,58.4,42.1,56.6,43.8,54.9,32.5,63.1,43,57,46,54,34.1,65.8,38.9,61.1,80.9,8.5,7.4,1.5,0.2,1.4,29,220,30.4,265,50752,294,56.2,401911,151412,234648,100,42.1,56.6,100,43.8,54.9,390561,127127,246483,16951,274513,93724,180728,61,130870,205432,695070,562860),"
96,Florida 9th,FL-09,Democratic,Darren,Soto,2016,1978,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,54.8,41.9,55.6,43.4,54.6,44.5,57.5,42.5,49,51,51,49,,,,,51.4,11.3,33.2,2.6,0.2,1.2,24.6,299,28.8,286,49899,315,36.4,356530,195368,149352,100,55.6,43.4,100,54.6,44.5,339761,195311,144450,0,,,,,,,714440,530730,,,"(96,'Florida 9th','FL-09','Democratic','Darren','Soto',2016,1978,'Man','Hispanic - Puerto Rican','Christian - Roman Catholic','No',54.8,41.9,55.6,43.4,54.6,44.5,57.5,42.5,49,51,51,49,,,,,51.4,11.3,33.2,2.6,0.2,1.2,24.6,299,28.8,286,49899,315,36.4,356530,195368,149352,100,55.6,43.4,100,54.6,44.5,339761,195311,144450,0,,,,,,,714440,530730),"
97,Florida 10th,FL-10,Democratic,Val,Demings,2016,1957,Woman,Black - African-American,Christian - Protestant,No,61.8,34.9,60.7,38.4,60.9,38.5,64.9,35.1,58,41,61,39,,,,,46.1,25.5,21.9,4.7,0.1,1.7,30.3,191,38.3,154,50151,307,28.2,315611,194934,110062,100,60.7,38.4,100,60.9,38.5,305989,198491,107498,0,,,,,,,674450,498575,,,"(97,'Florida 10th','FL-10','Democratic','Val','Demings',2016,1957,'Woman','Black - African-American','Christian - Protestant','No',61.8,34.9,60.7,38.4,60.9,38.5,64.9,35.1,58,41,61,39,,,,,46.1,25.5,21.9,4.7,0.1,1.7,30.3,191,38.3,154,50151,307,28.2,315611,194934,110062,100,60.7,38.4,100,60.9,38.5,305989,198491,107498,0,,,,,,,674450,498575),"
98,Florida 11th,FL-11,Republican,Daniel,Webster,2010,1949,Man,White - Non-Hispanic,Christian - Southern Baptist,No,32.5,64.8,39.8,59.2,42.6,56.1,31.6,65.4,42,58,45,55,,,,,84.4,6.2,7.3,0.9,0.3,0.9,20.6,377,21.2,406,43610,388,66.4,410998,133448,266256,100,39.8,59.2,100,42.6,56.1,394719,124713,258016,11990,,,,,,,710335,596990,,,"(98,'Florida 11th','FL-11','Republican','Daniel','Webster',2010,1949,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',32.5,64.8,39.8,59.2,42.6,56.1,31.6,65.4,42,58,45,55,,,,,84.4,6.2,7.3,0.9,0.3,0.9,20.6,377,21.2,406,43610,388,66.4,410998,133448,266256,100,39.8,59.2,100,42.6,56.1,394719,124713,258016,11990,,,,,,,710335,596990),"
99,Florida 12th,FL-12,Republican,Gus,Bilirakis,2006,1963,Man,White - Non-Hispanic,Christian - Orthodox,No,38.8,57.4,45.5,53,47.4,51.2,31.4,68.6,44,56,46,55,,,,,84,3.9,9,1.9,0.3,0.9,26.9,256,26.7,318,49774,317,61.5,380357,147759,218487,100,45.5,53,100,47.4,51.2,369669,116110,253559,0,,,,,,,701195,562145,,,"(99,'Florida 12th','FL-12','Republican','Gus','Bilirakis',2006,1963,'Man','White - Non-Hispanic','Christian - Orthodox','No',38.8,57.4,45.5,53,47.4,51.2,31.4,68.6,44,56,46,55,,,,,84,3.9,9,1.9,0.3,0.9,26.9,256,26.7,318,49774,317,61.5,380357,147759,218487,100,45.5,53,100,47.4,51.2,369669,116110,253559,0,,,,,,,701195,562145),"
100,Florida 13th,FL-13,Democratic,Charlie,Crist,2016,1956,Man,White - Non-Hispanic,Christian - Methodist,No,49.6,46.4,54.6,43.9,55.5,43,51.9,48.1,38,62,39,61,,,,,78.1,11.2,6.4,2.8,0.3,1.2,27.8,242,28.8,286,48519,331,55.5,360760,178892,167348,100,54.6,43.9,100,55.5,43,355842,184693,171149,0,,,,,,,675410,555010,,,"(100,'Florida 13th','FL-13','Democratic','Charlie','Crist',2016,1956,'Man','White - Non-Hispanic','Christian - Methodist','No',49.6,46.4,54.6,43.9,55.5,43,51.9,48.1,38,62,39,61,,,,,78.1,11.2,6.4,2.8,0.3,1.2,27.8,242,28.8,286,48519,331,55.5,360760,178892,167348,100,54.6,43.9,100,55.5,43,355842,184693,171149,0,,,,,,,675410,555010),"
