id,district,code,party,first_name,last_name,first_elected,election_type,birth_year,gender,race_ethnicity,religion,lgbtq,seat_status2016,votepercent_president2016_democrat,votepercent_president2016_republican,2012votepercent_president_democrat,2012votepercent_president_republican,2008votepercent_president_democrat,2008votepercent_president_republican,rvotepercent_house_democrat,rvotepercent_house_republican,2014votepercent_house_democrat,2014votepercent_house_republican,2012two_party_dem,2012two_party_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,census_population2010_adult_white,census_population2010_adult_black,census_population2010_adult_latino,census_population2010_adult_asianpacificislander,census_population2010_adult_native,census_population2010_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,sort,tvotetotal_president,qvote_president_democrat,qvote_president_republican,2012votetotal_president,2012vote_pesident_democrat,2012vote_president_republican,2008votetotal_president,2008vote_president_democrat,2008vote_president_republican,2016votetotal_house,2016vote_house_democrat,2016vote_house_republican,2016vote_house_other,2014vote_total_house,2014vote_house_democrat,2014vote_house_republican,2014vote_house_other,2012house2_party_dem,2012house2_party_rep,acs_population_total,acs_population_white,acs_population_black,acs_population_latino,acs_population_asianpacificislander,acs_population_nativeamerican,acs_population_other,acs_votingagepopulation_total,acs_votingagepopulation_white,acs_votingagepopulation_black,acs_votingagepopulation_latino,acs_votingagepopulation_asianpacificislander,acs_votingagepopulation_nativeamerican,acs_votingagepopulation_other,census_totalpopulation,census_totalpopulation_white,census_totalpopulation_black,census_totalpopulation_latino,census_totalpopulation_asianpacificislander,census_totalpopulation_nativeamerican,census_totalpopulation_other,census_votingagepopulation_total,census_votingagepopulation_white,census_votingagepopulation_black,census_votingagepopulation_latino,census_votingagepopulation_asianpacificislander,census_votingagepopulation_nativeamerican,census_votingagepopulation_other
92,Florida 5th,FL-05,Democratic,Al,Lawson,2016,Normal,1948,Man,Black - African-American,Christian - Episcopalian,No,Open - Lost Primary/Redistricted,61.3,35.9,63.6,35.4,63.2,35.9,64.2,35.8,,,,,45.6,45.3,5.4,1.9,0.3,1.5,46.7,43.1,6.0,2.4,0.3,1.4 ,21.4 ,361 ,25.0 ,350 ,40932,410,34.1,92,312071,191194,111892,100,63.6,35.4,100,63.2,35.9,302874,194549,108325,0,,,,,,,692450,288595,330510,43985,12560,1735,15070,529155,241220,239950,28630,9900,1500,7950,693320,298405,317227,45553,15790,2241,14104,528480,246880,228004,31765,12589,1807,7435
93,Florida 6th,FL-06,Vacant (R),,,,Normal,,,,,,Re-elected,39.9,56.9,46.6,52.2,50.1,48.7,41.4,58.6,,,,,79.2,9.3,9.0,1.3,0.3,0.9,79.5,8.9,8.8,1.5,0.3,1.1 ,23.9 ,311 ,24.9 ,354 ,46882,352,59.4,93,379804,151453,215941,100,46.6,52.2,100,50.1,48.7,364570,151051,213519,0,,,,,,,706230,536855,71515,75620,9240,2145,10855,575030,455455,53470,51770,7340,1775,5225,699410,534141,68545,72835,10704,1958,11227,564224,448394,50236,49490,8540,1607,5957
94,Florida 7th,FL-07,Democratic,Stephanie,Murphy,2016,Normal,1978,Woman,Asian - Vietnamese,Christian - Protestant,No,Defeated,51.4,44.1,49.4,49.4,51.1,48.0,51.5,48.5,,,,,65.7,9.6,19.9,3.3,0.1,1.4,66.8,8.9,18.7,3.9,0.2,1.5 ,37.8 ,95 ,44.3 ,96 ,57146,207,36.5,94,363186,186658,160178,100,49.4001,49.4,100,51.1,48,353655,182039,171583,33,,,,,,,696785,436290,70375,152665,23450,785,13210,552445,362920,52920,110130,18140,645,7685,695696,445353,65935,141621,26859,1565,14363,548186,365919,49047,102442,21202,1242,8334
95,Florida 8th,FL-08,Republican,Bill,Posey,2008,Normal,1947,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,37.7,58.4,42.1,56.6,43.8,54.9,32.5,63.1,34.1,65.8,38.9,61.1,80.9,8.5,7.4,1.5,0.2,1.4,80.4,8.3,7.7,2.0,0.3,1.3 ,29.0 ,220 ,30.4 ,265 ,50752,294,56.2,95,401911,151412,234648,100,42.1,56.6,100,43.8,54.9,390561,127127,246483,16951,274513,93724,180728,61,130870,205432,695070,539340,66415,61910,11150,1695,14560,562860,455500,48095,41635,8410,1320,7900,695476,538048,65465,62145,13601,2035,14182,558439,449006,46558,42740,11023,1648,7464
96,Florida 9th,FL-09,Democratic,Darren,Soto,2016,Normal,1978,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Open - Ran for Senate and lost in primary,54.8,41.9,55.6,43.4,54.6,44.5,57.5,42.5,,,,,51.4,11.3,33.2,2.6,0.2,1.2,52.4,10.7,32.2,3.0,0.2,1.5 ,24.6 ,299 ,28.8 ,286 ,49899,315,36.4,96,356530,195368,149352,100,55.6,43.4,100,54.6,44.5,339761,195311,144450,0,,,,,,,714440,333835,86785,261975,17930,1275,12630,530730,272590,60170,176340,13870,1190,6570,693475,334024,79271,244747,20291,1544,13598,520247,272500,55761,167633,15555,1239,7559
97,Florida 10th,FL-10,Democratic,Val,Demings,2016,Normal,1957,Woman,Black - African-American,Christian - Protestant,No,Open - Retiring from Redistricted FL-11,61.8,34.9,60.7,38.4,60.9,38.5,64.9,35.1,,,,,46.1,25.5,21.9,4.7,0.1,1.7,44.1,25.0,23.0,5.4,0.2,2.3 ,30.3 ,191 ,38.3 ,154 ,50151,307,28.2,97,315611,194934,110062,100,60.7,38.4,100,60.9,38.5,305989,198491,107498,0,,,,,,,674450,283315,184280,160885,30605,835,14535,498575,229790,127380,109030,23195,510,8665,694368,282252,186708,168629,35871,1551,19357,519891,229356,129784,119463,28110,1181,11997
98,Florida 11th,FL-11,Republican,Daniel,Webster,2010,Normal,1949,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,32.5,64.8,39.8,59.2,42.6,56.1,31.6,65.4,,,,,84.4,6.2,7.3,0.9,0.3,0.9,84.4,6.0,7.3,1.1,0.3,0.9 ,20.6 ,377 ,21.2 ,406 ,43610,388,66.4,98,410998,133448,266256,100,39.8,59.2,100,42.6,56.1,394719,124713,258016,11990,,,,,,,710335,578940,48840,63285,6665,1770,10840,596990,503885,37125,43650,5295,1600,5435,692014,563980,46961,60756,8285,2057,9975,574603,484917,34199,41898,6481,1698,5410
99,Florida 12th,FL-12,Republican,Gus,Bilirakis,2006,Normal,1963,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,38.8,57.4,45.5,53.0,47.4,51.2,31.4,68.6,,,,,84.0,3.9,9.0,1.9,0.3,0.9,84.7,3.3,8.5,2.1,0.2,1.1 ,26.9 ,256 ,26.7 ,318 ,49774,317,61.5,99,380357,147759,218487,100,45.5,53,100,47.4,51.2,369669,116110,253559,0,,,,,,,701195,568335,30220,74905,14310,2085,11345,562145,472105,22005,50450,10570,1750,5265,694735,569187,26134,70632,15567,1641,11574,554847,470214,18400,47259,11692,1372,5910
100,Florida 13th,FL-13,Democratic,Charlie,Crist,2016,Normal,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Defeated,49.6,46.4,54.6,43.9,55.5,43.0,51.9,48.1,,,,,78.1,11.2,6.4,2.8,0.3,1.2,77.7,10.6,7.1,3.0,0.3,1.3 ,27.8 ,242 ,28.8 ,286 ,48519,331,55.5,100,360760,178892,167348,100,54.6,43.9,100,55.5,43,355842,184693,171149,0,,,,,,,675410,499855,84770,54440,19745,1930,14680,555010,433335,62190,35700,15440,1620,6730,697259,515948,85309,58531,22253,1685,13533,572547,445128,60558,40776,17380,1436,7269
101,Florida 14th,FL-14,Democratic,Kathy,Castor,2006,Normal,1966,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,57.2,39.0,57.6,41.2,58.1,40.9,61.8,38.2,,,,,55.1,17.0,22.8,3.3,0.2,1.5,52.1,16.4,25.8,3.9,0.2,1.6 ,35.3 ,129 ,46.5 ,83 ,51410,281,29.4,101,330433,188870,128797,100,57.6,41.2,100,58.1,40.9,316877,195789,121088,0,,,,,,,668930,340260,122800,168735,22745,1360,13030,512900,282680,87335,117175,17165,1055,7490,699039,340252,125058,190290,27136,1469,14834,540408,281502,88675,139462,21044,1192,8533
102,Florida 15th,FL-15,Republican,Dennis,Ross,2010,Normal,1959,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,43.1,53.1,46.6,52.2,46.7,52.1,42.5,57.5,,,,,67.3,13.2,15.4,2.5,0.2,1.4,67.3,12.3,16.1,2.6,0.3,1.4 ,25.8 ,279 ,27.3 ,308 ,53784,244,48.8,102,334518,144225,177635,100,46.6,52.2,100,46.7,52.1,318474,135475,182999,0,,,,,,,703740,440175,98595,131210,17190,1805,14765,532485,358475,70130,81905,13095,1260,7620,704327,445708,93944,129668,18080,2121,14806,533364,358784,65689,85793,13726,1656,7716
103,Florida 16th,FL-16,Republican,Vern,Buchanan,2006,Normal,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,43.0,53.7,45.1,53.7,47.7,51.2,40.2,59.8,,,,,80.3,7.6,9.4,1.6,0.2,0.9,78.2,6.6,12.3,1.7,0.2,0.9 ,30.7 ,184 ,33.2 ,220 ,55447,225,53.5,103,396807,170442,213271,100,45.1,53.7,100,47.7,51.2,385916,155262,230654,0,,,,,,,707850,528340,61475,94880,11835,1670,9650,560555,449985,42760,52500,8985,1385,4940,698285,512728,54263,107028,12118,1435,10713,555284,434488,36859,68393,9199,1122,5223
104,Florida 17th,FL-17,Republican,Tom,Rooney,2008,Normal,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,35.0,62.2,41.3,57.6,43.9,54.7,34.2,61.8,,,,,82.4,6.8,8.8,1.1,0.2,0.8,80.1,6.3,11.4,1.1,0.3,0.8 ,21.3 ,363 ,23.2 ,388 ,45508,365,63.2,104,353861,123919,220156,100,41.3,57.6,100,43.9,54.7,338675,115974,209348,13353,,,,,,,687455,536330,51170,81075,7625,1700,9555,564130,464785,38145,49660,5965,1285,4285,694462,527934,49044,98462,7898,2357,8767,563830,451382,35688,64393,6113,1726,4528
105,Florida 18th,FL-18,Republican,Brian,Mast,2016,Normal,1980,Man,Hispanic - Mexican,Christian - Protestant,No,Open - Ran for Senate and lost,44.1,53.3,47.7,51.4,51.2,47.9,43.1,53.6,,,,,76.8,10.7,10.0,1.6,0.2,0.8,74.2,10.5,12.2,1.8,0.2,1.1 ,30.5 ,188 ,33.6 ,212 ,54913,231,50.9,105,382474,168558,203771,100,47.7,51.4,100,51.2,47.9,375918,161918,201488,12512,,,,,,,682745,491510,81755,87395,11520,1205,9355,547435,420480,58415,54535,8575,850,4570,699427,490338,84043,99561,12911,1339,11235,557944,414197,58602,67959,10022,1002,6162
106,Florida 19th,FL-19,Republican,Francis,Rooney,2016,Normal,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,37.5,59.6,38.7,60.5,42.3,56.8,34.1,65.9,32.7,64.6,36.6,63.4,81.6,5.7,10.7,1.2,0.2,0.7,77.2,5.7,14.8,1.3,0.2,0.9 ,32.3 ,166 ,37.1 ,170 ,54812,233,51.3,106,381158,143001,227097,100,38.7,60.5,100,42.3,56.8,363166,123812,239225,129,246861,80824,159354,6683,109746,189833,688235,520990,48920,101390,8470,1425,7035,560780,457505,31765,60030,6670,1115,3700,696429,504100,48193,124310,9386,1291,9149,569135,439097,32411,84305,7315,1001,5006
107,Florida 20th,FL-20,Democratic,Alcee,Hastings,1992,Normal,1936,Man,Black - African-American,Christian - African Methodist Episcopal,No,Re-elected,80.2,18.1,82.5,17.1,80.9,18.6,80.3,19.7,,,,,25.6,51.2,19.4,2.5,0.1,1.3,25.2,47.5,22.6,2.6,0.2,1.9 ,19.7 ,391 ,27.2 ,311 ,43677,387,18.5,107,288811,231596,52251,100,82.5,17.1,100,80.9,18.6,277560,222914,54646,0,,,,,,,631450,134740,338975,130745,15810,770,10405,459945,117605,235265,89190,11450,505,5935,703209,152398,353590,162452,17926,1231,15612,523033,131678,248635,118013,13843,863,10001
108,Florida 21st,FL-21,Democratic,Lois,Frankel,2012,Normal,1948,Woman,White - Non-Hispanic,Jewish,No,Re-elected,58.6,39.1,60.4,38.9,63.4,35.9,62.7,35.1,,,,,70.5,11.6,14.7,2.1,0.1,0.9,66.8,11.7,17.8,2.3,0.1,1.2 ,34.3 ,135 ,40.5 ,132 ,55864,219,41.8,108,351661,206239,137490,100,60.4,38.9,100,63.4,35.9,335861,210606,118038,7217,,,,,,,645385,416970,88530,115675,14400,595,9225,512725,361675,59485,75565,10740,525,4735,689378,429055,93851,137674,16422,1175,11201,554416,370463,65059,98822,12519,820,6733
109,Florida 22nd,FL-22,Democratic,Ted,Deutch,2010,Special,1966,Man,White - Non-Hispanic,Jewish,No,Re-elected,56.8,41.0,56.3,43.0,58.3,41.0,58.9,41.1,,,,,68.7,11.6,15.8,2.5,0.2,1.2,67.5,11.2,16.6,2.8,0.1,1.8 ,37.9 ,94 ,43.2 ,107 ,60159,183,38.9,109,356482,202355,146228,100,56.3,43,100,58.3,41,337850,199113,138737,0,,,,,,,645025,412255,87980,116135,16570,1185,10900,512670,352405,59490,80870,12825,885,6180,693643,443788,89626,124060,19871,1019,15279,562571,379522,63226,93268,15581,804,10170
110,Florida 23rd,FL-23,Democratic,Debbie,Wasserman Schultz,2004,Normal,1966,Woman,White - Non-Hispanic,Jewish,No,Re-elected,61.9,35.8,61.4,38.0,62.0,37.3,56.7,40.5,,,,,51.8,12.5,30.8,3.4,0.3,1.1,51.1,11.6,31.9,3.6,0.2,1.6 ,38.6 ,91 ,39.7 ,143 ,61513,162,31.1,110,337782,209079,120967,100,61.4,38,100,62,37.3,323120,183225,130818,9077,,,,,,,639660,313590,85745,205635,22490,1675,10530,494965,256505,62055,152670,16920,1255,5570,695383,340184,86158,228644,25349,1595,13453,542450,277370,62833,172906,19661,1095,8585
111,Florida 24th,FL-24,Democratic,Frederica,Wilson,2010,Normal,1942,Woman,Black - African-American,Christian - Episcopalian,No,Re-elected,82.9,15.4,85.7,13.9,84.0,15.6,100,0,,,,,15.7,50.5,31.6,1.4,0.1,0.7,13.9,45.9,36.9,1.5,0.1,1.5 ,19.4 ,393 ,35.9 ,184 ,38441,422,9.9,111,265174,219783,40817,100,85.7,13.9,100,84,15.6,0,0,0,0,,,,,,,594600,85405,307100,189145,7360,895,4690,443490,69435,223910,140360,6085,615,3085,697844,89549,337273,248912,9792,1040,11278,530066,73855,243559,195840,8031,714,8067
112,Florida 25th,FL-25,Republican,Mario,Diaz-Balart,2002,Normal,1961,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,47.9,49.7,44.9,54.5,40.6,58.8,37.6,62.4,,,,,26.5,3.9,68.0,1.0,0.2,0.3,20.0,3.6,74.9,1.0,0.1,0.4 ,22.7 ,338 ,33.9 ,206 ,46247,359,17.5,112,264353,126668,131319,100,44.9,54.5,100,40.6,58.8,253240,95319,157921,0,,,,,,,546765,134345,22875,380270,5645,1260,2375,414085,109775,16145,281755,4200,905,1300,692920,138922,26970,515366,6792,1124,3746,540846,108301,19364,404871,5353,741,2216
113,Florida 26th,FL-26,Republican,Carlos,Curbelo,2014,Normal,1980,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,56.8,40.5,55.4,43.9,51.5,47.9,41.2,53.0,,,,,22.4,11.7,63.5,1.6,0.1,0.6,18.9,10.0,68.3,1.7,0.1,1.0 ,27.2 ,251 ,32.8 ,227 ,54453,238,15.0,113,289225,164252,117205,100,55.4,43.9,100,51.5,47.9,280542,115493,148547,16502,,,,,,,613525,130365,77470,390930,9360,715,4685,457955,102640,53765,290615,7430,570,2940,696241,127112,77216,472680,11026,748,7459,530119,100427,53191,362064,8826,561,5050
114,Florida 27th,FL-27,Republican,Ileana,Ros-Lehtinen,1988,Normal,1952,Woman,Hispanic - Cuban,Christian - Episcopalian,No,Re-elected,58.5,38.9,53.0,46.3,50.1,49.3,45.1,54.9,0,100.0,,,27.8,5.0,64.6,1.9,0.1,0.6,24.0,4.0,69.1,1.9,0.1,0.9 ,37.5 ,98 ,63.8 ,18 ,51958,267,9.9,114,297564,174132,115814,100,53,46.3,100,50.1,49.3,287677,129760,157917,0,,,,,,,556235,151085,27650,362515,10245,375,4365,438255,121750,21995,282940,8500,340,2725,698036,169539,29143,479637,12576,435,6706,569381,136921,22897,393720,10637,339,4867
115,Georgia 1st,GA-01,Republican,Buddy,Carter,2014,Normal,1957,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,40.9,56.4,43.0,55.9,44.4,55.0,0,100,39.1,60.9,37.0,63.0,64.0,29.1,3.8,1.4,0.3,1.3,63.7,28.1,4.9,1.8,0.3,1.3 ,25.0 ,294 ,28.2 ,301 ,50931,290,45.9,115,269568,110190,151996,260148,111949,145460,261140,116029,143603,210243,0,210243,0,156512,61175,95337,0,92399,157181,701405,427420,210445,35905,9650,2240,15740,527655,337960,153425,20285,7625,1710,6650,691918,419688,205123,39664,11689,1980,13774,518703,330246,145605,25606,9097,1556,6593
116,Georgia 2nd,GA-02,Democratic,Sanford,Bishop,1992,Normal,1947,Man,Black - African-American,Christian - Baptist,No,Re-elected,55.0,43.3,58.6,40.8,57.9,41.6,61.2,38.8,59.2,40.8,63.8,36.2,44.6,50.7,2.6,0.9,0.2,1.1,45.0,48.6,4.0,1.1,0.3,0.9 ,17.6 ,409 ,22.1 ,399 ,35617,429,34.7,116,248103,136455,107361,262837,153998,107242,269039,155809,112005,242599,148543,94056,0,162900,96363,66537,0,162751,92410,670425,277515,350885,24200,6030,1185,10610,504255,224875,255430,13100,4430,995,5425,690937,288405,352193,31536,7553,1677,9573,515612,232073,250833,20798,5833,1319,4756
117,Georgia 3rd,GA-03,Republican,Drew,Ferguson,2016,Normal,1966,Man,White - Non-Hispanic,Christian - Nondenominational,No,Open - Retired,32.8,64.3,33.0,65.9,34.0,65.3,31.7,68.3,0,100.0,0,100,70.8,23.3,3.3,1.2,0.2,1.2,71.0,21.7,4.3,1.6,0.3,1.0 ,26.5 ,264 ,28.3 ,297 ,56240,217,50.7,117,311865,102155,200624,296218,97746,195071,296017,100498,193264,303187,95969,207218,0,156277,0,156277,0,0,232380,694610,472810,166435,30580,8695,1540,14550,518970,367650,121050,16960,6075,1175,6055,697477,477844,158870,35149,11679,1692,12243,515563,366166,111992,22397,8394,1295,5319
118,Georgia 4th,GA-04,Democratic,Hank,Johnson,2006,Normal,1954,Man,Black - African-American,Buddhist - Soka Gakkai,No,Re-elected,75.3,22.2,73.6,25.6,73.2,26.3,75.7,24.3,100,0,73.6,26.4,30.9,60.7,3.8,3.2,0.1,1.3,31.1,54.7,8.0,4.5,0.2,1.5 ,29.8 ,206 ,38.1 ,158 ,51686,275,19.0,118,298663,224907,66433,296933,218499,75951,308702,225977,81136,290739,220146,70593,0,161211,161211,0,0,208861,75041,667990,180350,411535,41855,22175,835,11235,485240,149760,294465,18425,15555,690,6345,692084,190587,392460,63141,30367,1350,14179,504112,156967,275552,40166,22748,959,7720
119,Georgia 5th,GA-05,Democratic,John,Lewis,1986,Normal,1940,Man,Black - African-American,Christian - Baptist,No,Re-elected,85.0,11.9,83.1,15.8,84.4,15.0,84.4,15.6,100,0,84.4,15.6,32.8,59.2,3.3,2.9,0.3,1.5,31.4,56.0,6.9,4.0,0.2,1.5 ,42.0 ,64 ,70.5 ,8 ,48269,337,9.7,119,305754,259805,36385,290359,241217,45887,311008,262388,46724,300549,253781,46768,0,170326,170326,0,0,234330,43335,693925,204305,422890,33845,18815,1630,12435,543810,178480,322110,17960,15625,1380,8255,689901,192780,403808,54552,25155,1324,12282,539971,169333,302354,37161,21719,1079,8325
120,Georgia 6th,GA-06,Republican,Karen,Handel,2017,Special,1962,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,46.8,48.3,37.5,60.8,40.1,59.0,38.3,61.7,34.0,66.0,35.5,64.5,72.4,14.3,4.9,6.8,0.3,1.4,64.9,12.1,12.0,9.2,0.1,1.7 ,60.6 ,6 ,66.7 ,11 ,87139,34,24.0,120,331246,155077,160022,307096,115017,186807,300950,120560,177477,326005,124917,201088,0,210504,71486,139018,0,104365,189669,641380,432745,91755,53010,48665,1675,13530,469400,340035,66980,22845,31735,1310,6490,692704,433874,84022,92523,65757,1088,15440,519945,337499,62792,62367,47906,774,8607
121,Georgia 7th,GA-07,Republican,Rob,Woodall,2010,Normal,1970,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,44.8,51.1,38.3,60.2,39.1,60.1,39.6,60.4,34.6,65.4,37.8,62.2,58.5,20.4,9.1,10.4,0.2,1.4,52.9,16.7,16.9,11.8,0.2,1.5 ,39.6 ,83 ,44.9 ,92 ,72481,79,32.1,121,294972,132012,150845,263742,101065,158854,253576,99165,152310,288301,114220,174081,0,173669,60112,113557,0,95377,156689,657130,347000,134940,90935,68985,1250,14020,452545,264940,92145,41295,46935,915,6315,691120,342977,121398,131041,79630,1277,14797,489192,258577,81701,82793,57940,903,7278
122,Georgia 8th,GA-08,Republican,Austin,Scott,2010,Normal,1969,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,34.4,63.3,37.5,61.6,37.8,61.6,32.4,67.6,0,100.0,0,100,65.0,30.0,2.9,0.9,0.2,1.0,64.6,28.0,4.9,1.4,0.3,0.9 ,21.8 ,354 ,24.8 ,355 ,44360,380,48.7,122,265514,91360,168193,265963,99677,163908,264482,100004,162850,257208,83225,173983,0,129938,0,129938,0,0,197789,682145,422980,210630,30250,6600,1160,10515,514725,334420,154530,14935,4750,915,5175,691161,427469,203187,39682,9300,1684,9839,517611,334541,144744,25178,7058,1328,4762
123,Georgia 9th,GA-09,Republican,Doug,Collins,2012,Normal,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,19.3,77.8,20.5,78.1,24.3,74.7,0,100,19.3,80.7,23.8,76.2,86.8,7.0,4.2,1.0,0.2,0.8,82.6,6.3,9.0,1.1,0.2,0.8 ,21.6 ,358 ,24.0 ,373 ,50154,306,65.9,123,297215,57468,231194,265551,54388,207498,265060,64381,198004,256535,0,256535,0,181047,34988,146059,0,60052,192101,675575,557070,48425,53890,6875,1305,8015,510760,443485,35880,21290,4870,1265,3975,693832,550911,45124,79806,7866,1660,8465,522084,431282,32849,46827,5558,1301,4267
124,Georgia 10th,GA-10,Republican,Jody,Hice,2014,Normal,1960,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,35.8,61.3,36.3,62.5,38.8,60.4,0,100,33.5,66.5,0,100,69.8,24.7,2.9,1.5,0.1,1.0,69.2,23.6,4.0,2.0,0.2,1.0 ,26.7 ,260 ,30.4 ,265 ,51532,278,48.5,124,315073,112691,193030,294851,107039,184160,292252,113346,176532,243725,0,243725,0,196480,65777,130703,0,0,211065,698745,468045,178845,29270,11350,1040,10195,529455,369310,130760,15615,8065,640,5065,689234,460154,170940,32508,13979,1312,10341,519419,359358,122823,20617,10592,996,5033
125,Georgia 11th,GA-11,Republican,Barry,Loudermilk,2014,Normal,1963,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,35.3,60.3,31.5,66.9,34.7,64.3,32.6,67.4,0,100.0,31.4,68.6,75.3,16.0,5.0,2.3,0.2,1.2,71.5,14.6,9.4,2.8,0.2,1.4 ,41.0 ,72 ,44.1 ,98 ,69610,96,42.0,125,329615,116457,198813,300276,94447,201014,296160,102718,190544,323318,105383,217935,0,161532,0,161532,0,90353,196968,680000,487015,109605,53465,16525,1070,12315,504200,379535,80705,25285,11545,880,6245,693142,477347,104934,76058,19143,1550,14110,512972,366918,74957,48003,14483,1194,7417
126,Georgia 12th,GA-12,Republican,Rick,Allen,2014,Normal,1951,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,40.7,56.9,43.6,55.4,43.9,55.6,38.4,61.6,45.2,54.8,53.7,46.3,59.8,34.3,3.3,1.2,0.2,1.0,60.0,32.5,4.5,1.7,0.2,1.1 ,20.9 ,369 ,23.6 ,381 ,43933,385,45.7,126,267674,108937,152204,268283,117085,148688,265819,116658,147742,258912,99420,159492,0,166814,75478,91336,0,139148,119973,692875,394345,245275,31920,8730,1510,11090,522900,312950,179465,17485,6515,1190,5295,693660,396283,236068,36902,11267,1602,11538,519454,311535,168625,23397,8999,1268,5630
127,Georgia 13th,GA-13,Democratic,David,Scott,2002,Normal,1946,Man,Black - African-American,Christian - Baptist,No,Re-elected,71.0,26.6,69.2,30.0,67.1,32.3,100,0,100,0,71.7,28.3,33.4,58.1,4.8,2.2,0.1,1.4,34.7,52.4,8.6,2.6,0.2,1.4 ,29.6 ,209 ,26.0 ,334 ,57342,202,24.7,127,301238,213936,80157,292880,202794,87785,297602,199839,96244,252833,252833,0,0,159445,159445,0,0,201988,79550,684200,197845,405065,53295,14580,540,12875,487680,162885,283355,23595,10605,435,6800,687435,208589,375818,70119,17075,1500,14334,492458,170694,258203,42393,12899,1137,7132
128,Georgia 14th,GA-14,Republican,Tom,Graves,2010,Special,1970,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,22.1,75.0,25.3,73.2,27.8,71.0,0,100,0,100.0,27.0,73.0,85.1,8.7,4.4,0.7,0.2,0.9,82.0,7.8,8.1,0.9,0.2,0.9 ,18.1 ,406 ,18.5 ,423 ,48691,330,69.3,128,255872,56513,191849,232702,58906,170364,239806,66752,170324,216743,0,216743,0,118782,0,118782,0,59245,159947,667195,541550,59195,50525,5330,1075,9520,492210,418845,42680,21765,3605,860,4455,693048,547012,56855,71008,6384,1583,10206,509005,417325,39916,41299,4637,1215,4613
129,Hawaii 1st,HI-01,Democratic,Colleen,Hanabusa,2016,Normal,1951,Woman,Asian - Japanese,Buddhist - Jodo Shinshu,No,Vacant (Mark Takai) - Died,63.1,30.5,69.7,29.0,70.3,28.3,71.9,22.7,51.9,48.1,54.6,45.4,19.1,2.2,7.2,56.2,0.1,15.1,18.3,1.8,5.7,61.0,0.2,13.1 ,36.0 ,119 ,48.9 ,69 ,78180,58,9.8,129,209300,132009,63916,216671,151023,62875,222577,156408,63007,202357,145417,45958,10982,179844,93390,86454,0,116505,96824,639210,111070,13425,57075,341035,685,115920,501890,96110,11005,36255,281935,610,75980,678064,111982,12047,46905,395455,997,110678,537531,98207,9615,30437,327826,828,70618
130,Hawaii 2nd,HI-02,Democratic,Tulsi,Gabbard,2012,Normal,1981,Woman,Pacific Islander - Samoan,Hindu,No,Re-elected,61.4,29.6,71.4,26.7,73.4,24.9,81.2,18.8,78.7,18.6,80.5,19.5,33.7,1.6,9.2,35.9,0.2,19.5,33.0,1.2,8.7,38.0,0.3,18.8 ,27.8 ,242 ,42.6 ,118 ,70867,89,19.3,130,219637,134882,64931,218026,155635,58140,230991,169463,57559,210516,170848,39668,0,180333,142010,33630,4693,168503,40707,664745,196980,10075,78815,224345,1250,153275,504835,169900,7850,46195,181430,1095,98360,682237,197361,7857,73937,246061,1826,155195,518952,171323,6047,45137,197441,1495,97509
131,Idaho 1st,ID-01,Republican,Raúl,Labrador,2010,Normal,1967,Man,Hispanic - Puerto Rican,Christian - Mormon,No,Re-elected,25.4,63.7,32.2,64.9,35.1,62.5,31.8,68.2,35.0,65.0,32.8,67.2,89.6,0.3,6.5,0.9,1.2,1.5,87.9,0.4,7.9,1.2,1.2,1.4 ,25.4 ,285 ,26.8 ,316 ,52199,262,65.5,131,359661,91284,229034,328258,105645,213080,329856,115925,206273,355357,113052,242252,53,220864,77277,143580,7,97450,199402,811550,703340,2745,71875,7470,9510,16615,599525,536885,1960,38960,5520,7000,9200,784103,668447,3355,78672,9079,9123,15427,571430,502212,2124,45339,6872,6622,8261
